# INSTANCE: InstancesTDTSP/NewTWinstances/inst_10_1_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 10
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.041 7988
* 0.121 7974
* 0.45 7921
* 0.45 7918
* 1.143 7893
* 1.144 7860
* 1.362 7800
* 1.362 7795
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 7795
# NUMBER OF BRANCHES: 58060
# END TIME: 5.297
## Solution: 
10
222 0
240 418
9 1345
190 3096
150 4103
127 4788
32 5516
81 6214
74 6469
132 7180
# BEST TD SOLUTION: 7795
