# INSTANCE: InstancesTDTSP/inst_30_9.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 11.16 16679
* 20.11 16623
* 21.36 16614
* 35.6 16601
* 68.52 16569
* 69.85 16555
* 96.35 16525
* 98.2 16423
* 103.23 16422
* 437.32 16309
* 444.12 16287
* 570.4 16242
* 573.87 16228
* 574.79 16220
* 619.04 16217
* 670.46 16214
* 1265.22 16212
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 16212
# NUMBER OF BRANCHES: 3038367
# END TIME: 3600.03
## Solution: 
30
30 0
217 386
86 560
157 834
149 1081
32 1425
39 1985
242 2287
56 2878
33 3608
35 4283
89 5900
253 7113
206 8070
204 8331
85 8665
210 8925
213 9262
71 9453
169 10120
225 10995
113 11500
15 12115
247 12503
111 12852
108 13461
250 13863
68 14521
221 14916
201 15719
# BEST TD SOLUTION: 16212
