# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_16_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
# EXTRACTION TIME: 249.804
* 0.078 41580
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 41580
# NUMBER OF BRANCHES: 221
# END TIME: 249.882
## Solution: 
100
172 0
176 208
180 629
181 1129
208 1539
131 1831
80 2063
79 2365
74 2734
210 3039
85 3509
70 4078
128 4445
24 5077
54 5512
53 5650
157 5849
149 6247
187 6409
155 6780
189 7173
151 7754
163 8223
142 8477
141 8720
152 9249
49 9741
231 10051
127 10333
43 10737
47 11157
126 11520
121 11660
65 11964
46 12202
40 12572
120 12996
34 13467
254 13971
116 14202
28 14567
218 14722
253 14966
251 15308
25 15743
244 15912
237 16089
246 16436
29 16854
20 17078
102 17476
90 17771
97 18118
105 18432
88 18898
133 19322
59 19822
48 20120
57 20434
124 20767
36 21114
125 21421
248 21603
232 21910
56 22372
123 22893
45 23073
23 23401
62 23935
35 24485
227 24718
41 24931
50 25205
96 25964
197 26832
201 27507
206 28169
211 28539
76 28670
235 28923
129 29230
209 29777
202 30103
66 30366
5 31011
14 31296
12 31487
2 31753
1 31964
107 32314
108 32674
114 32961
17 33377
247 33694
18 34546
195 35307
212 35685
162 36295
224 37778
207 39405
# BEST TD SOLUTION: 41580
