# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_15_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
# EXTRACTION TIME: 196.584
* 0.06 42119
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 42119
# NUMBER OF BRANCHES: 216
# END TIME: 196.645
## Solution: 
100
209 0
205 326
202 680
82 1023
69 1321
70 1591
78 1982
206 2188
85 2613
81 2914
75 3271
131 3792
71 4366
183 4820
221 5341
226 5883
240 6066
68 6716
66 7081
241 7604
203 8136
211 8720
235 9133
22 9754
118 10092
233 10405
25 10710
246 11239
29 11689
117 12023
196 12514
30 13367
216 13529
119 13895
252 14278
220 14554
31 14871
86 14975
34 15166
54 15406
166 15702
37 16019
127 16189
39 16490
61 16808
230 16926
40 17169
121 17307
167 17728
163 17969
146 18378
147 18640
181 19096
186 19467
173 19817
182 20190
178 20527
180 20710
179 20993
18 21358
113 21590
7 21865
114 22113
108 22266
8 22471
115 22821
12 23259
4 23471
239 23908
250 24490
138 25124
247 25933
109 26162
184 27107
156 28297
36 28706
64 28898
59 29275
57 29614
124 29830
123 30098
45 30408
19 30675
219 31002
99 31400
97 31759
105 32028
88 32413
100 32698
98 33004
101 33399
91 33915
90 34652
238 34746
93 35179
51 36356
227 36691
35 36981
199 37878
224 40367
# BEST TD SOLUTION: 42119
