# INSTANCE: InstancesTDTSP/inst_10_9_TW.txt DATA_TDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 10
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 60
# EXTRACTION TIME: 0.093
* 0 8625
* 0 8599
* 0 8589
* 0 8516
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 8516
# NUMBER OF BRANCHES: 158
# END TIME: 0.093
## Solution: 
10
148 0
190 690
186 1309
178 1776
176 1900
172 2031
225 2738
80 3537
95 5704
199 6477
# BEST TD SOLUTION: 8516
