# EXTRACTION TIME: 0.204
* 0.002 1094
* 0.015 1087
* 0.056 1083
* 0.066 1082
* 0.425 1075
* 0.439 1068
* 0.446 1066
* 3.046 1062
* 3.453 1055
* 3.466 1052
* 3.467 1046
* 3.49 1036
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1036
# NUMBER OF BRANCHES: 790466
# END TIME: 30.21
## Solution: 
30
0 0
3 222
8 241
2 259
19 284
6 336
9 361
29 397
1 430
23 454
4 477
10 507
18 536
5 570
22 586
28 608
13 624
24 641
11 661
7 680
30 717
21 746
12 768
26 785
27 813
16 832
17 884
14 894
15 913
20 924
25 935
# BEST TD SOLUTION: 1036
