# EXTRACTION TIME: 0.119
* 0.002 1074
* 0.005 1051
* 0.011 1050
* 0.028 1035
* 0.188 1030
* 0.19 1027
* 0.195 1020
* 0.232 1017
* 0.268 1015
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1015
# NUMBER OF BRANCHES: 486661
# END TIME: 30.122
## Solution: 
25
0 0
20 326
21 369
25 405
12 433
19 474
22 500
18 519
6 537
10 573
23 599
16 617
4 636
2 664
8 683
9 716
1 734
14 758
15 775
17 804
11 824
7 844
24 865
5 885
13 907
3 916
# BEST TD SOLUTION: 1015
