# EXTRACTION TIME: 0.109
* 0.001 1693
* 0.002 1525
* 0.003 1497
* 0.009 1411
* 0.013 1360
* 0.052 1358
* 0.053 1339
* 0.056 1324
* 0.059 1321
* 0.072 1305
* 0.087 1286
* 0.089 1284
* 2.551 1283
* 3.549 1281
* 3.551 1278
* 3.656 1277
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1277
# NUMBER OF BRANCHES: 835319
# END TIME: 30.115
## Solution: 
25
0 0
21 255
6 303
11 318
15 346
12 357
23 367
18 392
4 454
2 546
13 574
8 617
5 665
16 716
7 738
1 760
10 786
25 811
24 852
14 1002
22 1059
20 1068
3 1097
9 1131
17 1148
19 1191
# BEST TD SOLUTION: 1277
