# EXTRACTION TIME: 0.131
* 0.003 1154
* 0.02 1149
* 0.025 1134
* 0.157 1132
* 0.193 1126
* 0.795 1124
* 0.845 1123
* 0.848 1114
* 23.248 1112
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1112
# NUMBER OF BRANCHES: 493288
# END TIME: 30.133
## Solution: 
25
0 0
22 311
5 396
20 499
17 529
1 550
21 575
14 593
8 612
4 651
6 675
12 695
3 717
15 738
16 757
9 783
23 804
7 838
18 870
13 914
11 933
24 952
25 970
19 986
10 1006
2 1017
# BEST TD SOLUTION: 1112
