# EXTRACTION TIME: 0.368
* 0.003 1181
* 0.005 1178
* 0.007 1175
* 0.008 1174
* 0.095 1146
* 0.138 1145
* 0.151 1144
* 0.163 1135
* 0.183 1124
* 0.258 1120
* 0.34 1112
* 0.477 1110
* 0.478 1098
* 0.503 1097
* 0.649 1094
* 0.739 1088
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1088
# NUMBER OF BRANCHES: 589094
# END TIME: 30.375
## Solution: 
35
0 0
3 36
22 61
28 92
1 117
32 166
17 241
26 277
24 301
9 340
18 374
7 398
30 447
34 483
20 525
11 567
6 581
23 608
8 627
13 645
15 682
21 709
33 720
16 766
25 796
19 834
10 850
5 870
4 903
27 927
14 956
29 966
2 994
12 1011
31 1040
35 1058
# BEST TD SOLUTION: 1088
