# EXTRACTION TIME: 0.212
* 0.003 1291
* 0.006 1266
* 0.028 1244
* 0.051 1214
* 0.066 1209
* 0.328 1208
* 0.335 1205
* 0.341 1197
* 0.343 1196
* 0.346 1195
* 0.371 1190
* 0.395 1185
* 0.957 1172
* 0.993 1171
* 1.008 1170
* 1.022 1169
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1169
# NUMBER OF BRANCHES: 366732
# END TIME: 30.217
## Solution: 
30
0 0
9 323
27 338
5 365
11 396
4 431
7 468
19 503
28 531
26 551
18 570
1 589
2 607
12 626
16 658
13 680
20 704
8 723
3 762
17 780
15 800
21 834
29 878
23 897
30 924
10 973
6 992
14 1014
25 1030
24 1045
22 1065
# BEST TD SOLUTION: 1169
