# EXTRACTION TIME: 0.223
* 0.003 1537
* 0.005 1529
* 0.016 1526
* 0.021 1523
* 0.049 1514
* 0.102 1415
* 0.128 1408
* 0.328 1398
* 0.363 1391
* 8.448 1381
* 8.492 1377
* 8.516 1372
* 8.766 1371
* 8.771 1370
* 9.726 1369
* 18.711 1362
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1362
# NUMBER OF BRANCHES: 373865
# END TIME: 30.23
## Solution: 
30
0 0
8 242
15 306
25 364
20 482
2 518
11 558
30 610
29 640
13 684
21 727
9 765
26 785
7 803
6 824
22 842
27 896
18 944
5 999
3 1028
12 1088
1 1119
24 1129
17 1148
14 1170
23 1200
4 1234
16 1261
19 1272
28 1283
10 1299
# BEST TD SOLUTION: 1362
