# EXTRACTION TIME: 0.062
* 0.001 1256
* 0.009 1201
* 0.019 1196
* 0.079 1193
* 0.081 1191
* 0.097 1189
* 0.107 1186
* 0.108 1180
* 0.116 1172
* 0.116 1171
* 0.116 1151
* 0.116 1150
* 0.116 1149
* 0.131 1148
* 144.371 1147
* 163.247 1146
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1146
# NUMBER OF BRANCHES: 89772736
# END TIME: 3600.08
## Solution: 
20
0 0
6 337
18 379
11 405
20 462
17 512
14 557
15 611
3 628
8 651
9 685
7 721
19 735
5 757
10 821
13 877
16 931
4 962
2 999
1 1035
12 1050
# BEST TD SOLUTION: 1146
