# EXTRACTION TIME: 0.168
* 0.002 1223
* 0.004 1178
* 0.019 1169
* 0.024 1152
* 0.165 1149
* 0.182 1148
* 0.285 1146
* 0.36 1144
* 0.362 1140
* 4.956 1138
* 4.984 1133
* 5.056 1130
* 5.071 1127
* 6.072 1126
* 6.083 1125
* 6.099 1124
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1124
# NUMBER OF BRANCHES: 599874
# END TIME: 30.174
## Solution: 
30
0 0
25 298
27 312
8 346
17 370
13 399
7 427
15 453
2 477
26 503
28 531
30 555
20 576
4 600
9 634
19 653
5 685
23 718
11 738
3 762
1 781
10 800
21 820
14 841
16 860
12 884
24 900
29 931
18 952
6 971
22 1003
# BEST TD SOLUTION: 1124
