# INSTANCE: InstancesTDTSP/NewTWinstances/inst_20_18_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 6000
# EXTRACTION TIME: 0.903
* 0.002 47986
* 0.002 47726
* 0.003 15476
* 0.009 15201
* 1.153 15191
* 1.302 15157
* 1.302 15106
* 2.966 15099
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 15099
# NUMBER OF BRANCHES: 78964
# END TIME: 5.697
## Solution: 
20
202 0
221 364
81 845
83 1092
189 1457
131 1926
171 2515
176 3166
172 3372
208 4338
130 4697
31 5643
98 7608
17 10267
239 10960
9 11506
200 12373
87 13147
230 13853
161 14414
# BEST TD SOLUTION: 15099
