# INSTANCE: InstancesTDTSP/inst_20_1.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 2.14 14505
* 3.87 14366
* 4.07 14265
* 24.78 14170
* 243.4 14168
* 243.52 14139
* 259.25 14060
* 1430.17 14013
* 1430.71 13842
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 13842
# NUMBER OF BRANCHES: 6215364
# END TIME: 3600.01
## Solution: 
20
30 0
245 315
236 672
44 1300
127 1587
148 2043
130 2765
128 3312
170 3972
188 4781
164 5189
185 6427
182 6817
181 7279
175 7587
240 8260
8 9339
207 10479
87 12150
228 12820
# BEST TD SOLUTION: 13842
