# INSTANCE: InstancesTDTSP/inst_100_2_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.03 39945 -1
* 0.08 39542 -1
* 0.24 39408 -1
* 0.55 39403 -1
* 0.55 39400 -1
* 0.59 39360 -1
* 0.64 39347 -1
* 0.64 39343 -1
* 0.65 39331 -1
* 0.66 39230 -1
* 0.67 39141 -1
* 0.67 39028 -1
* 0.68 39024 -1
* 0.72 38902 -1
* 0.72 38888 -1
* 0.73 38850 -1
* 0.75 38800 -1
* 0.75 38654 -1
* 0.75 38650 -1
* 0.76 38445 -1
* 0.76 38412 -1
* 0.76 38335 -1
* 0.77 38104 -1
* 0.8 38094 -1
* 0.85 38054 -1
* 0.86 37995 -1
* 0.88 37991 -1
* 0.88 37934 -1
* 0.91 37932 -1
* 0.96 37889 -1
* 1.02 37869 -1
* 1.1 37859 -1
* 1.13 37797 -1
* 1.14 37758 -1
* 1.19 37738 -1
* 1.23 37714 -1
* 1.25 37707 -1
* 1.29 37673 -1
* 1.31 37661 -1
* 1.36 37605 -1
* 1.41 37550 -1
* 1.48 37544 -1
* 1.53 37496 -1
* 1.56 37453 -1
* 1.68 37451 -1
* 1.69 37431 -1
* 1.7 37420 -1
* 1.82 37410 -1
* 1.94 37383 -1
* 2 37372 -1
* 15.27 37366 -1
* 15.28 37354 -1
* 29.32 37281 -1
* 29.34 37247 -1
* 29.37 37246 -1
* 29.6 37245 -1
* 29.66 37229 -1
* 29.66 37222 -1
* 30.17 37219 -1
* 30.35 37168 -1
* 30.39 37164 -1
* 30.81 37156 -1
* 31.97 37155 -1
* 164.81 37133 -1
* 165.76 37132 -1
* 165.82 37113 -1
* 166.56 37112 -1
* 166.73 37111 -1
* 167.72 37071 -1
* 167.75 37067 -1
* 167.81 37062 -1
* 419.9 37042 -1
* 419.91 37022 -1
* 493.44 37021 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 37021
# NUMBER OF BRANCHES: 154418336
# END TIME: 7200
## No TDTSP solution found.
