# INSTANCE: InstancesTDTSP/inst_100_12_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 49949 -1
* 0.05 49854 -1
* 0.19 49750 -1
* 0.2 49248 -1
* 0.21 49075 -1
* 0.22 49025 -1
* 0.23 48975 -1
* 0.24 48956 -1
* 0.25 48716 -1
* 0.26 48683 -1
* 0.26 48583 -1
* 0.28 48458 -1
* 0.28 48412 -1
* 0.28 48255 -1
* 0.29 48100 -1
* 0.33 47638 -1
* 0.34 47512 -1
* 0.34 47304 -1
* 0.35 47281 -1
* 0.35 47263 -1
* 0.42 47038 -1
* 0.46 46951 -1
* 0.46 46930 -1
* 0.47 46924 -1
* 0.48 46910 -1
* 0.49 46478 -1
* 0.49 46452 -1
* 0.5 46412 -1
* 0.5 46349 -1
* 0.5 46146 -1
* 0.52 46134 -1
* 0.54 45833 -1
* 0.55 45798 -1
* 0.55 45766 -1
* 0.56 45680 -1
* 0.57 45400 -1
* 0.58 45334 -1
* 0.58 45321 -1
* 0.65 45282 -1
* 0.65 45241 -1
* 0.67 45197 -1
* 0.67 44493 -1
* 0.68 44425 -1
* 0.69 44027 -1
* 0.74 44008 -1
* 0.8 43968 -1
* 0.8 43956 -1
* 0.89 43864 -1
* 1.87 43816 -1
* 1.87 43784 -1
* 1.91 43618 -1
* 1.95 43615 -1
* 1.98 43522 -1
* 1.99 43465 -1
* 2.05 43462 -1
* 2.05 43428 -1
* 2.06 43414 -1
* 2.09 43379 -1
* 2.1 43287 -1
* 2.11 43264 -1
* 2.29 43186 -1
* 8.32 43158 -1
* 9.91 43108 -1
* 9.93 43104 -1
* 12.54 43091 -1
* 12.55 43050 -1
* 12.8 43044 -1
* 12.83 43002 -1
* 12.92 42990 -1
* 13.34 42961 -1
* 14.62 42842 -1
* 14.8 42807 -1
* 15.71 42788 -1
* 23.52 42785 -1
* 23.57 42727 -1
* 30.8 42724 -1
* 30.83 42710 -1
* 30.86 42632 -1
* 30.87 42592 -1
* 30.98 42375 -1
* 31.01 42356 -1
* 31.1 42349 -1
* 31.11 42315 -1
* 31.15 42304 -1
* 31.55 42301 -1
* 31.62 42292 -1
* 31.92 42289 -1
* 32.06 42278 -1
* 32.19 42275 -1
* 33.11 42159 -1
* 33.55 42157 -1
* 33.83 42154 -1
* 34.37 42112 -1
* 34.41 42107 -1
* 39.85 42103 -1
* 47.58 42093 -1
* 47.59 42067 -1
* 47.69 42063 -1
* 47.76 42038 -1
* 52.63 42021 -1
* 55.47 42017 -1
* 695.38 42004 -1
* 1868.93 41973 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 41973
# NUMBER OF BRANCHES: 167458246
# END TIME: 7200.01
## No TDTSP solution found.
