# INSTANCE: InstancesTDTSP/inst_100_11_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.29 50230 -1
* 0.37 50228 -1
* 0.96 50204 -1
* 0.97 50190 -1
* 0.97 50098 -1
* 0.97 49694 -1
* 0.99 49666 -1
* 1 49574 -1
* 1.01 49567 -1
* 1.01 49540 -1
* 1.07 49096 -1
* 1.13 48991 -1
* 1.13 48971 -1
* 1.15 48959 -1
* 1.27 48954 -1
* 1.29 48882 -1
* 1.36 48819 -1
* 1.37 48766 -1
* 1.37 48703 -1
* 1.37 48662 -1
* 1.37 48647 -1
* 1.39 48586 -1
* 1.4 48572 -1
* 1.48 48533 -1
* 1.48 48515 -1
* 1.49 48510 -1
* 1.51 48475 -1
* 1.55 48386 -1
* 1.57 48359 -1
* 1.68 48309 -1
* 1.71 48121 -1
* 1.72 48070 -1
* 1.72 48023 -1
* 1.75 47977 -1
* 1.76 47864 -1
* 1.78 47829 -1
* 1.79 47774 -1
* 1.82 47713 -1
* 1.82 47609 -1
* 1.83 47596 -1
* 1.84 47516 -1
* 1.85 47510 -1
* 1.88 47456 -1
* 1.88 47405 -1
* 1.88 47391 -1
* 1.92 47338 -1
* 1.93 47315 -1
* 1.94 47106 -1
* 1.94 47008 -1
* 2 47005 -1
* 2.01 47000 -1
* 2.12 46875 -1
* 12.15 46831 -1
* 12.82 46672 -1
* 12.86 46638 -1
* 12.89 46605 -1
* 12.91 46583 -1
* 12.97 46564 -1
* 13 46488 -1
* 13.81 46454 -1
* 13.89 46326 -1
* 14.85 46291 -1
* 15.43 46225 -1
* 17.18 46064 -1
* 17.21 46061 -1
* 17.23 46057 -1
* 17.28 46038 -1
* 17.36 46025 -1
* 17.4 45989 -1
* 17.53 45786 -1
* 17.73 45770 -1
* 17.83 45766 -1
* 36.86 45607 -1
* 36.9 45597 -1
* 36.9 45366 -1
* 36.91 45220 -1
* 36.92 45180 -1
* 36.96 45052 -1
* 36.96 44958 -1
* 36.98 44813 -1
* 36.99 44774 -1
* 36.99 44722 -1
* 36.99 44588 -1
* 37.01 44579 -1
* 37.04 44491 -1
* 37.08 44422 -1
* 37.1 44388 -1
* 37.3 44356 -1
* 37.34 44319 -1
* 37.37 44271 -1
* 37.38 44242 -1
* 37.39 44230 -1
* 37.48 44225 -1
* 37.51 44189 -1
* 37.58 43986 -1
* 37.67 43979 -1
* 37.68 43947 -1
* 37.69 43907 -1
* 37.7 43881 -1
* 37.71 43878 -1
* 37.81 43803 -1
* 37.92 43777 -1
* 38.23 43763 -1
* 38.26 43757 -1
* 38.43 43734 -1
* 38.43 43704 -1
* 38.49 43696 -1
* 38.59 43646 -1
* 38.59 43613 -1
* 38.65 43577 -1
* 39.14 43566 -1
* 39.61 43540 -1
* 39.79 43507 -1
* 41.35 43491 -1
* 41.64 43470 -1
* 41.76 43452 -1
* 41.8 43415 -1
* 42.34 43391 -1
* 42.44 43366 -1
* 42.68 43339 -1
* 42.7 43298 -1
* 42.75 43145 -1
* 42.82 43095 -1
* 42.82 43069 -1
* 42.84 43060 -1
* 42.9 43058 -1
* 42.91 43054 -1
* 43.01 43020 -1
* 43.01 42984 -1
* 45.45 42940 -1
* 47.82 42924 -1
* 47.84 42862 -1
* 47.85 42790 -1
* 48.97 42784 -1
* 48.98 42725 -1
* 49.03 42724 -1
* 49.24 42665 -1
* 50.01 42624 -1
* 50.39 42610 -1
* 51.44 42543 -1
* 51.46 42492 -1
* 52.07 42457 -1
* 52.14 42437 -1
* 52.34 42435 -1
* 52.51 42414 -1
* 52.57 42380 -1
* 52.62 42321 -1
* 57.13 42308 -1
* 57.15 42291 -1
* 57.29 42226 -1
* 57.38 42160 -1
* 57.41 42143 -1
* 57.57 42104 -1
* 58.01 41974 -1
* 59.49 41955 -1
* 59.63 41928 -1
* 59.73 41920 -1
* 60.71 41914 -1
* 61.82 41904 -1
* 62.5 41903 -1
* 62.83 41901 -1
* 63.05 41878 -1
* 71.13 41846 -1
* 71.27 41838 -1
* 127 41836 -1
* 128.82 41816 -1
* 7063.99 41792 -1
* 7064.05 41777 -1
* 7065.27 41751 -1
* 7065.61 41738 -1
* 7071.85 41715 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 41715
# NUMBER OF BRANCHES: 187542110
# END TIME: 7200.01
## No TDTSP solution found.
