# INSTANCE: InstancesTDTSP/inst_30_14_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0.01 26965 -1
* 0.01 23768 -1
* 0.01 20120 -1
* 0.02 19825 -1
* 0.03 19600 -1
* 0.05 19594 -1
* 0.06 19537 -1
* 0.07 19492 -1
* 0.07 19316 -1
* 0.08 19230 -1
* 0.08 19223 -1
* 0.08 19178 -1
* 0.09 18935 -1
* 0.09 18034 -1
* 0.1 17966 -1
* 0.11 17638 -1
* 0.12 17552 -1
* 0.12 17541 -1
* 0.13 17485 -1
* 0.13 17446 -1
* 0.14 17441 -1
* 0.15 17361 -1
* 0.21 17346 -1
* 7.99 17308 -1
* 8 17280 -1
* 8.01 17206 -1
* 8.08 17126 -1
* 8.11 17119 -1
* 8.16 17072 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 17072
# NUMBER OF BRANCHES: 146402067
# END TIME: 3600
## No TDTSP solution found.
