# INSTANCE: InstancesTDTSP/inst_30_3_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0.01 20249 -1
* 0.01 17540 -1
* 0.01 17207 -1
* 0.01 17076 -1
* 0.02 17034 -1
* 0.03 16750 -1
* 0.03 16695 -1
* 0.03 16575 -1
* 0.04 16570 -1
* 0.05 16394 -1
* 0.05 16272 -1
* 0.05 16216 -1
* 0.06 16099 -1
* 0.48 16011 -1
* 0.49 15986 -1
* 208.49 15947 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 15947
# NUMBER OF BRANCHES: 141549381
# END TIME: 3600
## No TDTSP solution found.
