# INSTANCE: InstancesTDTSP/inst_20_19_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 18542 -1
* 0 11969 -1
* 0 11677 -1
* 0.01 11409 -1
* 0.03 11374 -1
* 0.09 11209 -1
* 0.35 11165 -1
* 0.54 11051 -1
* 33.94 11027 -1
* 51.51 11020 -1
* 52.69 11013 -1
* 52.69 11000 -1
* 343.88 10979 -1
* 346.46 10952 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 10952
# NUMBER OF BRANCHES: 23726496
# END TIME: 479.9
## No TDTSP solution found.
