# INSTANCE: InstancesTDTSP/inst_50_6_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 23114 -1
* 0.03 23088 -1
* 0.08 23067 -1
* 0.08 23011 -1
* 0.09 22977 -1
* 0.1 22928 -1
* 0.1 22899 -1
* 0.11 22760 -1
* 0.11 22748 -1
* 0.11 22692 -1
* 0.12 22683 -1
* 0.15 22615 -1
* 0.17 22438 -1
* 0.19 22409 -1
* 0.2 22400 -1
* 0.2 22380 -1
* 0.22 22320 -1
* 0.23 22225 -1
* 0.23 22195 -1
* 0.26 22164 -1
* 0.28 22131 -1
* 1.4 22026 -1
* 1.72 22007 -1
* 1.89 21946 -1
* 1.92 21922 -1
* 1.93 21918 -1
* 2.12 21908 -1
* 2.15 21903 -1
* 2.15 21883 -1
* 2.18 21866 -1
* 2.62 21845 -1
* 2.63 21814 -1
* 2.7 21806 -1
* 2.7 21764 -1
* 2.84 21750 -1
* 2.94 21749 -1
* 3.78 21708 -1
* 4.24 21687 -1
* 4.25 21664 -1
* 4.28 21657 -1
* 4.29 21651 -1
* 4.31 21639 -1
* 4.31 21624 -1
* 4.33 21617 -1
* 4.39 21591 -1
* 4.45 21584 -1
* 4.73 21515 -1
* 4.75 21451 -1
* 4.83 21428 -1
* 4.85 21409 -1
* 4.89 21405 -1
* 4.93 21379 -1
* 4.93 21356 -1
* 4.94 21321 -1
* 4.96 21238 -1
* 5.37 21178 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 21178
# NUMBER OF BRANCHES: 221518511
# END TIME: 7200
## No TDTSP solution found.
