# INSTANCE: InstancesTDTSP/inst_100_9_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 40965 -1
* 0.03 40425 -1
* 0.03 40369 -1
* 0.06 40283 -1
* 0.08 40227 -1
* 0.09 40218 -1
* 0.13 40206 -1
* 0.27 40022 -1
* 0.58 40009 -1
* 0.96 40003 -1
* 0.97 39946 -1
* 0.99 39890 -1
* 1 39875 -1
* 1.01 39834 -1
* 1.02 39821 -1
* 2.01 39817 -1
* 2.12 39811 -1
* 2.16 39795 -1
* 8.97 39775 -1
* 9.17 39719 -1
* 142.23 39608 -1
* 142.32 39591 -1
* 142.57 39585 -1
* 142.61 39511 -1
* 142.62 39462 -1
* 142.94 39441 -1
* 143.18 39404 -1
* 143.2 39394 -1
* 143.32 39385 -1
* 144.04 39365 -1
* 144.21 39352 -1
* 144.24 39262 -1
* 144.28 39260 -1
* 144.35 39243 -1
* 147 39206 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 39206
# NUMBER OF BRANCHES: 225969265
# END TIME: 7200
## No TDTSP solution found.
