# INSTANCE: InstancesTDTSP/inst_100_3_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.03 44142 -1
* 0.03 44083 -1
* 0.04 44002 -1
* 0.05 43968 -1
* 0.1 43908 -1
* 0.17 43878 -1
* 0.25 43614 -1
* 0.25 43596 -1
* 0.26 43550 -1
* 0.26 43488 -1
* 0.27 43482 -1
* 0.28 43256 -1
* 0.28 43245 -1
* 0.28 43110 -1
* 0.34 43103 -1
* 0.37 43098 -1
* 0.38 42974 -1
* 0.48 42639 -1
* 0.5 42596 -1
* 0.51 42564 -1
* 0.52 42454 -1
* 0.52 42450 -1
* 0.53 42186 -1
* 0.54 42141 -1
* 0.55 42111 -1
* 0.56 42025 -1
* 0.56 41933 -1
* 0.59 41789 -1
* 0.59 41621 -1
* 0.61 41618 -1
* 0.62 41600 -1
* 0.62 41598 -1
* 0.64 41597 -1
* 0.64 41490 -1
* 0.67 41489 -1
* 0.74 41479 -1
* 0.74 41424 -1
* 0.74 41403 -1
* 0.75 41335 -1
* 0.76 41333 -1
* 0.91 41331 -1
* 1.02 41303 -1
* 1.07 41296 -1
* 1.17 41274 -1
* 1.24 41167 -1
* 1.27 41150 -1
* 1.3 41120 -1
* 1.37 41005 -1
* 1.47 40967 -1
* 14.58 40735 -1
* 14.59 40732 -1
* 14.73 40704 -1
* 14.74 40673 -1
* 14.76 40647 -1
* 15.26 40579 -1
* 19.66 40563 -1
* 19.68 40545 -1
* 19.7 40535 -1
* 24.76 40508 -1
* 33.02 40455 -1
* 33.08 40449 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40449
# NUMBER OF BRANCHES: 294907504
# END TIME: 7200
## No TDTSP solution found.
