# INSTANCE: InstancesTDTSP/inst_30_16_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 15052 -1
* 0 15010 -1
* 0.01 14911 -1
* 0.86 14833 -1
* 0.86 14756 -1
* 0.87 14538 -1
* 0.87 14276 -1
* 0.89 14200 -1
* 0.91 14168 -1
* 0.95 14164 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 14164
# NUMBER OF BRANCHES: 149407298
# END TIME: 3600
## No TDTSP solution found.
