# INSTANCE: InstancesTDTSP/inst_100_18_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 48191 -1
* 0.02 47975 -1
* 0.04 47812 -1
* 0.1 47800 -1
* 0.13 47677 -1
* 0.37 47656 -1
* 0.38 47647 -1
* 0.38 47135 -1
* 0.38 47025 -1
* 0.44 47013 -1
* 0.45 46978 -1
* 0.45 46976 -1
* 0.45 46905 -1
* 0.46 46891 -1
* 0.47 46882 -1
* 1.67 46860 -1
* 1.69 46808 -1
* 1.73 46762 -1
* 1.73 46674 -1
* 1.73 46657 -1
* 1.74 46602 -1
* 1.75 46573 -1
* 2.1 46479 -1
* 2.1 46353 -1
* 2.12 46319 -1
* 2.14 46257 -1
* 2.24 46079 -1
* 2.28 45696 -1
* 2.33 45598 -1
* 2.35 45571 -1
* 2.35 45536 -1
* 2.37 45522 -1
* 2.4 45414 -1
* 2.65 45398 -1
* 2.7 45324 -1
* 3.04 45311 -1
* 3.09 45190 -1
* 3.13 45137 -1
* 90.68 45064 -1
* 90.75 44984 -1
* 91.1 44931 -1
* 91.25 44349 -1
* 91.39 44280 -1
* 91.63 44232 -1
* 94.28 44044 -1
* 94.49 43924 -1
* 94.59 43655 -1
* 94.63 43630 -1
* 94.72 43586 -1
* 95.46 43477 -1
* 95.75 43470 -1
* 95.78 43460 -1
* 96.03 43426 -1
* 96.13 43366 -1
* 96.53 43360 -1
* 103.17 43252 -1
* 142.02 43220 -1
* 142.03 43173 -1
* 142.04 43154 -1
* 142.04 43130 -1
* 142.05 43104 -1
* 142.07 43067 -1
* 142.08 43052 -1
* 142.23 43021 -1
* 142.24 43005 -1
* 143.68 43004 -1
* 158.31 42993 -1
* 158.33 42986 -1
* 158.4 42848 -1
* 158.42 42800 -1
* 158.46 42777 -1
* 158.53 42735 -1
* 158.53 42703 -1
* 3821.04 42697 -1
* 3821.68 42690 -1
* 4031.85 42680 -1
* 4031.86 42582 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 42582
# NUMBER OF BRANCHES: 248512982
# END TIME: 7200.01
## No TDTSP solution found.
