# INSTANCE: InstancesTDTSP/inst_100_17_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 51045 -1
* 0.03 48794 -1
* 0.05 48706 -1
* 0.07 48702 -1
* 0.12 48696 -1
* 0.21 48578 -1
* 0.24 48539 -1
* 0.24 48473 -1
* 0.26 48454 -1
* 0.27 48424 -1
* 0.29 48404 -1
* 0.33 48283 -1
* 0.34 48196 -1
* 0.34 48139 -1
* 0.35 48065 -1
* 0.4 48009 -1
* 0.41 47845 -1
* 0.44 47833 -1
* 0.44 47815 -1
* 0.49 47763 -1
* 0.5 47706 -1
* 0.52 47491 -1
* 0.53 46985 -1
* 0.54 46800 -1
* 0.54 46714 -1
* 0.6 46698 -1
* 0.62 46593 -1
* 0.62 46591 -1
* 0.63 46573 -1
* 0.64 46450 -1
* 0.66 46376 -1
* 0.74 46341 -1
* 1.72 46293 -1
* 1.73 46269 -1
* 1.78 46268 -1
* 1.8 46262 -1
* 1.82 46234 -1
* 1.82 46154 -1
* 1.83 46150 -1
* 1.88 46120 -1
* 1.89 46116 -1
* 1.9 45998 -1
* 1.94 45976 -1
* 1.94 45941 -1
* 1.96 45749 -1
* 1.97 45734 -1
* 1.98 45716 -1
* 2.01 45671 -1
* 2.04 45659 -1
* 2.2 45655 -1
* 2.26 45653 -1
* 2.28 45632 -1
* 2.28 45617 -1
* 2.29 45599 -1
* 2.33 45574 -1
* 2.51 45512 -1
* 2.51 45434 -1
* 2.53 45398 -1
* 2.54 45393 -1
* 2.61 45357 -1
* 2.76 45339 -1
* 2.82 45312 -1
* 2.89 45307 -1
* 2.95 45233 -1
* 2.95 45059 -1
* 2.96 44999 -1
* 2.99 44950 -1
* 2.99 44939 -1
* 3.11 44859 -1
* 15.51 44744 -1
* 23.88 44723 -1
* 25.41 44713 -1
* 25.44 44681 -1
* 25.85 44666 -1
* 26.08 44651 -1
* 27.85 44609 -1
* 28.06 44533 -1
* 28.23 44520 -1
* 28.5 44483 -1
* 28.65 44472 -1
* 28.67 44470 -1
* 28.71 44461 -1
* 28.79 44458 -1
* 28.8 44457 -1
* 28.81 44389 -1
* 28.98 44381 -1
* 28.99 44336 -1
* 29.07 44323 -1
* 29.13 44305 -1
* 29.21 44234 -1
* 29.24 44229 -1
* 29.32 44216 -1
* 29.39 44180 -1
* 29.41 44172 -1
* 29.46 44168 -1
* 30.49 44156 -1
* 30.5 44130 -1
* 30.51 44096 -1
* 30.51 44037 -1
* 30.54 43816 -1
* 30.55 43774 -1
* 30.55 43744 -1
* 30.58 43712 -1
* 30.58 43711 -1
* 30.74 43677 -1
* 31.63 43482 -1
* 31.86 43478 -1
* 31.92 43446 -1
* 32.08 43412 -1
* 32.69 43400 -1
* 32.7 43383 -1
* 32.89 43302 -1
* 33.02 43210 -1
* 33.3 43206 -1
* 33.36 43167 -1
* 34.19 43137 -1
* 34.22 43133 -1
* 34.43 43131 -1
* 35.55 43102 -1
* 4945.03 43014 -1
* 4945.06 42983 -1
* 4945.09 42961 -1
* 4945.13 42950 -1
* 4945.21 42904 -1
* 4945.47 42831 -1
* 5051.96 42820 -1
* 5052.22 42794 -1
* 5053.95 42702 -1
* 6989.15 42686 -1
* 6989.38 42685 -1
* 6989.86 42583 -1
* 6990.08 42579 -1
* 6990.31 42567 -1
* 6990.59 42528 -1
* 7004.85 42508 -1
* 7004.85 42504 -1
* 7025.72 42496 -1
* 7025.79 42475 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 42475
# NUMBER OF BRANCHES: 230075795
# END TIME: 7200.01
## No TDTSP solution found.
