# INSTANCE: InstancesTDTSP/inst_50_8_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 27482 -1
* 0.02 27087 -1
* 0.1 27080 -1
* 0.12 26835 -1
* 0.14 26813 -1
* 0.16 26806 -1
* 0.17 26746 -1
* 0.19 26674 -1
* 1.74 26643 -1
* 1.83 26395 -1
* 1.85 26374 -1
* 1.85 26189 -1
* 2.27 25912 -1
* 2.28 25873 -1
* 2.28 25854 -1
* 2.29 25768 -1
* 2.29 25762 -1
* 2.3 25675 -1
* 2.32 25457 -1
* 2.34 25396 -1
* 2.36 25298 -1
* 2.42 25251 -1
* 2.47 24949 -1
* 2.47 24861 -1
* 2.47 24859 -1
* 2.48 24820 -1
* 2.48 24586 -1
* 2.48 24513 -1
* 2.49 23763 -1
* 2.49 23731 -1
* 2.49 23569 -1
* 2.49 23559 -1
* 2.49 23514 -1
* 2.5 23487 -1
* 2.51 23444 -1
* 2.83 23096 -1
* 2.87 23023 -1
* 2.87 22999 -1
* 2.88 22961 -1
* 2.91 22950 -1
* 2.93 22942 -1
* 2.97 22908 -1
* 2.99 22892 -1
* 3.07 22880 -1
* 3.45 22871 -1
* 3.51 22753 -1
* 3489.69 22719 -1
* 3489.7 22657 -1
* 3489.7 22654 -1
* 3572.32 22608 -1
* 3572.38 22573 -1
* 3573.65 22508 -1
* 3579.42 22501 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 22501
# NUMBER OF BRANCHES: 225210911
# END TIME: 7200
## No TDTSP solution found.
