# INSTANCE: InstancesTDTSP/inst_50_9_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 34502 -1
* 0.01 33221 -1
* 0.01 26323 -1
* 0.01 25828 -1
* 0.01 25661 -1
* 0.02 25192 -1
* 0.02 25139 -1
* 0.03 25083 -1
* 0.03 25030 -1
* 0.03 25017 -1
* 0.05 24437 -1
* 0.06 24373 -1
* 0.06 24297 -1
* 0.07 24240 -1
* 0.09 24202 -1
* 0.1 24172 -1
* 0.1 24085 -1
* 0.14 24076 -1
* 0.14 24065 -1
* 0.14 23989 -1
* 0.14 23598 -1
* 0.14 23590 -1
* 0.14 23458 -1
* 0.14 23431 -1
* 0.15 23430 -1
* 0.15 23044 -1
* 0.15 22883 -1
* 0.17 22855 -1
* 0.17 22793 -1
* 0.2 22636 -1
* 0.2 22634 -1
* 0.22 22592 -1
* 0.22 22582 -1
* 0.23 22537 -1
* 1.24 22515 -1
* 2.37 22428 -1
* 2.96 22427 -1
* 2.98 22382 -1
* 3.02 22358 -1
* 3.1 22313 -1
* 3.66 22136 -1
* 5.05 22086 -1
* 5.08 22065 -1
* 5.14 22014 -1
* 5.19 21981 -1
* 5.2 21978 -1
* 5.31 21882 -1
* 5.31 21816 -1
* 7.96 21780 -1
* 7.98 21638 -1
* 8.02 21556 -1
* 8.04 21543 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 21543
# NUMBER OF BRANCHES: 272069424
# END TIME: 7200
## No TDTSP solution found.
