# INSTANCE: InstancesTDTSP/inst_50_19_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 26700 -1
* 0.01 26277 -1
* 0.01 26092 -1
* 0.01 25844 -1
* 0.3 25574 -1
* 0.34 25527 -1
* 0.35 25440 -1
* 0.36 25168 -1
* 1.93 25134 -1
* 2.08 25128 -1
* 2.43 25102 -1
* 2.44 25085 -1
* 2.49 25076 -1
* 2.5 25061 -1
* 2.81 25037 -1
* 3.11 25022 -1
* 3.15 25020 -1
* 3.2 25007 -1
* 3.68 24977 -1
* 3.72 24962 -1
* 3.73 24936 -1
* 3.74 24921 -1
* 5.63 24885 -1
* 6 24870 -1
* 8.91 24858 -1
* 8.91 24854 -1
* 8.92 24784 -1
* 8.97 24744 -1
* 8.97 24739 -1
* 8.98 24718 -1
* 9.01 24676 -1
* 10.94 24592 -1
* 11.04 24575 -1
* 11.14 24460 -1
* 11.18 24437 -1
* 11.18 24416 -1
* 11.19 24337 -1
* 11.92 24323 -1
* 11.92 24301 -1
* 11.95 24295 -1
* 11.95 24180 -1
* 11.96 24165 -1
* 11.96 24134 -1
* 11.96 24132 -1
* 11.97 24126 -1
* 12 24044 -1
* 17.93 24018 -1
* 17.93 24017 -1
* 17.95 23989 -1
* 17.95 23957 -1
* 17.95 23948 -1
* 17.95 23946 -1
* 17.96 23922 -1
* 17.99 23863 -1
* 18.03 23843 -1
* 18.2 23834 -1
* 18.29 23768 -1
* 18.31 23760 -1
* 18.36 23753 -1
* 18.4 23749 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 23749
# NUMBER OF BRANCHES: 316520784
# END TIME: 7200
## No TDTSP solution found.
