# INSTANCE: InstancesTDTSP/inst_10_8.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 10
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.047 7969
* 0.874 7887
* 6.63 7839
* 6.63 7734
* 6.646 7571
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 7571
# NUMBER OF BRANCHES: 120584
# END TIME: 11.033
## Solution: 
10
93 0
196 844
53 2189
151 2793
45 3636
19 4009
125 4911
232 5342
135 6233
57 6584
# BEST TD SOLUTION: 7571
