# INSTANCE: InstancesTDTSP/inst_100_11_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 7.57 53391 -1
* 11.92 53357 -1
* 11.93 53216 -1
* 11.97 53119 -1
* 11.97 53109 -1
* 12 53062 -1
* 12.01 53058 -1
* 12.01 52970 -1
* 12.06 52783 -1
* 12.06 52677 -1
* 12.07 52550 -1
* 12.14 52546 -1
* 12.18 52410 -1
* 12.19 52158 -1
* 12.21 52018 -1
* 12.22 51950 -1
* 12.23 51928 -1
* 12.29 51896 -1
* 12.3 51424 -1
* 12.32 51034 -1
* 12.34 50938 -1
* 12.35 50471 -1
* 12.36 50460 -1
* 12.41 50378 -1
* 12.42 50316 -1
* 12.44 50288 -1
* 12.48 50177 -1
* 12.49 50050 -1
* 12.49 50032 -1
* 12.52 50017 -1
* 12.61 50015 -1
* 12.63 49867 -1
* 12.63 49811 -1
* 12.68 49780 -1
* 12.69 49770 -1
* 12.71 49763 -1
* 12.77 49665 -1
* 12.79 49600 -1
* 13.91 49550 -1
* 13.93 49547 -1
* 13.93 49447 -1
* 13.99 49386 -1
* 14 48904 -1
* 14.03 48796 -1
* 14.1 48697 -1
* 14.1 48539 -1
* 14.11 48495 -1
* 14.12 48410 -1
* 14.12 48353 -1
* 14.18 48317 -1
* 14.33 48309 -1
* 14.4 48303 -1
* 14.61 48289 -1
* 14.63 48184 -1
* 14.67 48142 -1
* 14.74 48116 -1
* 14.88 48007 -1
* 14.96 47978 -1
* 15.13 47877 -1
* 15.15 47773 -1
* 15.17 47751 -1
* 15.21 47713 -1
* 15.27 47666 -1
* 15.31 47627 -1
* 15.44 47613 -1
* 15.54 47577 -1
* 15.55 47518 -1
* 15.63 47496 -1
* 15.69 47494 -1
* 15.75 47462 -1
* 24.81 47401 -1
* 24.82 47380 -1
* 24.82 47371 -1
* 24.84 46487 -1
* 24.84 46175 -1
* 24.85 46100 -1
* 24.85 45576 -1
* 27.27 45447 -1
* 27.27 45376 -1
* 27.28 45365 -1
* 27.29 45247 -1
* 27.32 45180 -1
* 27.35 45143 -1
* 27.35 45120 -1
* 27.37 45013 -1
* 27.4 44938 -1
* 27.41 44932 -1
* 27.42 44866 -1
* 27.43 44810 -1
* 27.43 44782 -1
* 27.43 44779 -1
* 27.45 44755 -1
* 27.47 44682 -1
* 27.52 44587 -1
* 27.55 44532 -1
* 27.57 44438 -1
* 27.57 44376 -1
* 27.65 44370 -1
* 27.77 44367 -1
* 27.85 44344 -1
* 28.26 44314 -1
* 28.88 44304 -1
* 29.09 44299 -1
* 29.13 44295 -1
* 29.31 44294 -1
* 29.31 44266 -1
* 29.45 44212 -1
* 29.57 44210 -1
* 29.95 44176 -1
* 30.68 44140 -1
* 32.28 44079 -1
* 32.39 44076 -1
* 32.76 44070 -1
* 38.22 44013 -1
* 38.23 43977 -1
* 38.63 43965 -1
* 55.39 43854 -1
* 55.42 43849 -1
* 55.61 43839 -1
* 56.71 43820 -1
* 56.78 43773 -1
* 56.92 43737 -1
* 57.99 43707 -1
* 61.14 43704 -1
* 63.18 43690 -1
* 78.05 43675 -1
* 78.08 43667 -1
* 79.8 43509 -1
* 79.81 43448 -1
* 79.87 43443 -1
* 80.47 43432 -1
* 86.09 43400 -1
* 113.96 43374 -1
* 113.99 43333 -1
* 645.19 43314 -1
* 645.3 43278 -1
* 645.51 43231 -1
* 645.98 43213 -1
* 647.47 43165 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 43165
# NUMBER OF BRANCHES: 210932414
# END TIME: 7200.01
## No TDTSP solution found.
