# INSTANCE: InstancesTDTSP/inst_10_18.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 10
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.047 9811
* 0.047 9809
* 0.047 9747
* 2.901 9175
* 2.933 9167
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 9167
# NUMBER OF BRANCHES: 99770
# END TIME: 10.61
## Solution: 
10
133 0
91 950
109 2910
241 5128
132 5392
74 6421
43 7336
38 7524
127 7771
39 8004
# BEST TD SOLUTION: 9167
