# INSTANCE: InstancesTDTSP/inst_100_14_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.06 47682 -1
* 0.08 47009 -1
* 0.13 46473 -1
* 0.27 46358 -1
* 0.45 45972 -1
* 0.46 45953 -1
* 0.46 45890 -1
* 0.47 45710 -1
* 0.51 45370 -1
* 0.51 45083 -1
* 0.53 45078 -1
* 0.54 44553 -1
* 0.55 44505 -1
* 0.56 44389 -1
* 0.61 43462 -1
* 0.65 43373 -1
* 0.67 43372 -1
* 0.69 43342 -1
* 0.76 43170 -1
* 0.87 43029 -1
* 0.88 43004 -1
* 0.93 42954 -1
* 0.94 42939 -1
* 0.94 42853 -1
* 0.95 42833 -1
* 0.96 42747 -1
* 0.98 42744 -1
* 0.98 42674 -1
* 0.99 42627 -1
* 1.02 42620 -1
* 1.09 42617 -1
* 1.11 42590 -1
* 1.27 42520 -1
* 1.3 42516 -1
* 1.32 42469 -1
* 10.74 42461 -1
* 10.83 42447 -1
* 10.89 42352 -1
* 11.1 42349 -1
* 11.28 42188 -1
* 11.32 42174 -1
* 11.52 42118 -1
* 11.53 42084 -1
* 11.56 42050 -1
* 11.64 41953 -1
* 11.67 41919 -1
* 11.71 41903 -1
* 11.71 41900 -1
* 11.75 41882 -1
* 11.76 41774 -1
* 11.78 41760 -1
* 11.79 41750 -1
* 11.82 41744 -1
* 11.86 41691 -1
* 12.02 41558 -1
* 12.03 41557 -1
* 12.07 40781 -1
* 12.09 40751 -1
* 12.25 40734 -1
* 12.26 40731 -1
* 12.27 40706 -1
* 12.33 40700 -1
* 12.39 40692 -1
* 12.39 40682 -1
* 12.43 40673 -1
* 12.43 40622 -1
* 12.43 40517 -1
* 12.72 40514 -1
* 12.72 40471 -1
* 12.73 40364 -1
* 12.73 40330 -1
* 12.94 40312 -1
* 13.17 40289 -1
* 13.17 40270 -1
* 13.18 40257 -1
* 13.48 40256 -1
* 13.66 40253 -1
* 13.7 40245 -1
* 14 40242 -1
* 14.33 40225 -1
* 14.67 40219 -1
* 14.69 40175 -1
* 14.76 40132 -1
* 15.09 40126 -1
* 15.1 40121 -1
* 15.33 40117 -1
* 15.46 40091 -1
* 16.22 40088 -1
* 16.23 40080 -1
* 16.4 40074 -1
* 16.45 40060 -1
* 16.49 40046 -1
* 16.61 40020 -1
* 16.66 40012 -1
* 16.79 40007 -1
* 16.86 40002 -1
* 17.06 39947 -1
* 17.36 39940 -1
* 17.36 39922 -1
* 21.79 39850 -1
* 21.81 39788 -1
* 21.83 39742 -1
* 21.85 39733 -1
* 21.86 39704 -1
* 21.92 39691 -1
* 22.11 39680 -1
* 22.21 39657 -1
* 23.44 39576 -1
* 24.4 39556 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 39556
# NUMBER OF BRANCHES: 211508925
# END TIME: 7200.01
## No TDTSP solution found.
