# INSTANCE: InstancesTDTSP/inst_100_20_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 48369 -1
* 0.06 48234 -1
* 0.23 48145 -1
* 0.25 48105 -1
* 0.31 47523 -1
* 0.31 47357 -1
* 0.31 47210 -1
* 0.38 47195 -1
* 0.39 47119 -1
* 1.47 47089 -1
* 1.5 46991 -1
* 1.51 46756 -1
* 1.52 46744 -1
* 1.52 46670 -1
* 1.54 46658 -1
* 1.62 46582 -1
* 1.63 46576 -1
* 1.69 46534 -1
* 1.72 46245 -1
* 1.75 46050 -1
* 1.76 46009 -1
* 1.77 45913 -1
* 1.92 45792 -1
* 1.92 45776 -1
* 1.93 45695 -1
* 1.93 45453 -1
* 1.96 45451 -1
* 1.96 45408 -1
* 1.97 45352 -1
* 2.02 45351 -1
* 2.08 45338 -1
* 2.09 45284 -1
* 2.09 45198 -1
* 2.26 45001 -1
* 2.32 44941 -1
* 2.33 44716 -1
* 2.35 44707 -1
* 2.37 44682 -1
* 2.38 44679 -1
* 2.5 44612 -1
* 2.66 44462 -1
* 2.71 44419 -1
* 2.74 44418 -1
* 2.75 44417 -1
* 2.78 44410 -1
* 2.8 44348 -1
* 2.86 44337 -1
* 2.87 44234 -1
* 2.87 43920 -1
* 2.88 43802 -1
* 2.88 43760 -1
* 2.93 43638 -1
* 2.99 43599 -1
* 3.09 43512 -1
* 3.13 43499 -1
* 3.13 43482 -1
* 3.28 43460 -1
* 3.44 43436 -1
* 3.49 43243 -1
* 3.62 42993 -1
* 9.08 42941 -1
* 9.09 42935 -1
* 9.16 42934 -1
* 15.95 42761 -1
* 15.97 42736 -1
* 15.99 42729 -1
* 16.02 42561 -1
* 16.03 42555 -1
* 16.06 42533 -1
* 16.13 42516 -1
* 16.24 42426 -1
* 16.31 42399 -1
* 16.32 42375 -1
* 16.35 42355 -1
* 16.62 42285 -1
* 16.78 42279 -1
* 16.85 42265 -1
* 17.37 42252 -1
* 20.59 42244 -1
* 20.68 42203 -1
* 20.86 42159 -1
* 21.06 42148 -1
* 137.46 42132 -1
* 137.54 42056 -1
* 137.84 41902 -1
* 137.86 41886 -1
* 137.97 41822 -1
* 138.68 41814 -1
* 138.7 41803 -1
* 138.78 41783 -1
* 140.13 41751 -1
* 140.35 41671 -1
* 140.4 41550 -1
* 140.41 41545 -1
* 140.46 41536 -1
* 141.31 41462 -1
* 141.38 41459 -1
* 141.4 41448 -1
* 141.61 41441 -1
* 141.85 41433 -1
* 141.89 41356 -1
* 142.11 41340 -1
* 142.56 41304 -1
* 142.58 41280 -1
* 871.3 41274 -1
* 871.42 41258 -1
* 871.46 41222 -1
* 871.5 41217 -1
* 871.56 41196 -1
* 871.56 41193 -1
* 871.57 41159 -1
* 871.69 41156 -1
* 871.72 41124 -1
* 871.73 41109 -1
* 887.12 41103 -1
* 890.05 41095 -1
* 890.24 41046 -1
* 890.3 41017 -1
* 890.37 40967 -1
* 890.39 40941 -1
* 890.41 40936 -1
* 890.42 40845 -1
* 892.05 40840 -1
* 892.22 40837 -1
* 892.45 40810 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40810
# NUMBER OF BRANCHES: 204480306
# END TIME: 7200.01
## No TDTSP solution found.
