# INSTANCE: InstancesTDTSP/inst_30_6_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 5.72
* 0.01 18482
* 0.01 18315
* 0.03 18279
* 0.1 18196
* 0.12 17876
* 0.57 17826
* 0.58 17821
* 2.63 17784
* 3.26 17776
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 17776
# NUMBER OF BRANCHES: 883839
# END TIME: 160.08
## Solution: 
30
230 0
43 355
42 655
37 1020
58 1437
124 1829
60 2202
64 2650
159 3474
160 4300
147 4826
145 5274
170 5912
131 6410
81 6883
82 7664
240 8293
132 8983
244 9689
26 10367
249 11204
206 12048
53 12552
143 13193
195 13799
11 14020
108 14857
6 15166
199 16617
103 16949
# BEST TD SOLUTION: 17776
