# INSTANCE: InstancesTDTSP/inst_20_7_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0.01 21183 -1
* 0.01 12880 -1
* 0.01 12613 -1
* 0.02 12574 -1
* 0.06 12515 -1
* 0.07 12474 -1
* 0.07 12187 -1
* 0.1 12151 -1
* 0.11 12045 -1
* 0.11 12005 -1
* 0.11 11923 -1
* 0.43 11776 -1
* 0.44 11774 -1
* 0.45 11609 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 11609
# NUMBER OF BRANCHES: 1757177
# END TIME: 35.16
## No TDTSP solution found.
