# INSTANCE: InstancesTDTSP/inst_100_13_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.06 48394 -1
* 0.25 48307 -1
* 0.25 48257 -1
* 0.26 48155 -1
* 0.27 48133 -1
* 0.28 48080 -1
* 0.3 48060 -1
* 0.3 47753 -1
* 0.3 47750 -1
* 0.31 47742 -1
* 0.32 47724 -1
* 0.39 47716 -1
* 0.42 47667 -1
* 0.43 47602 -1
* 0.43 47541 -1
* 0.46 47436 -1
* 0.46 47134 -1
* 0.47 46869 -1
* 0.48 46750 -1
* 0.49 46737 -1
* 0.52 46690 -1
* 0.53 46614 -1
* 0.54 46581 -1
* 0.54 46211 -1
* 0.54 46177 -1
* 0.55 46091 -1
* 0.55 46064 -1
* 0.6 45886 -1
* 0.61 45881 -1
* 0.61 45863 -1
* 0.63 45815 -1
* 0.65 45806 -1
* 0.66 45799 -1
* 0.67 45633 -1
* 0.68 45577 -1
* 0.7 45573 -1
* 0.79 45479 -1
* 0.82 45456 -1
* 0.84 45453 -1
* 0.89 45411 -1
* 0.9 45248 -1
* 0.94 45231 -1
* 0.98 45208 -1
* 0.99 45140 -1
* 1.02 45043 -1
* 1.04 45039 -1
* 1.06 44944 -1
* 1.09 44921 -1
* 1.13 44663 -1
* 1.15 44659 -1
* 1.22 44570 -1
* 1.23 44326 -1
* 1.27 44294 -1
* 1.37 44279 -1
* 1.37 44254 -1
* 2.45 44198 -1
* 2.49 44191 -1
* 2.69 44003 -1
* 2.77 43950 -1
* 2.78 43829 -1
* 2.79 43827 -1
* 2.89 43611 -1
* 3.14 43602 -1
* 3.2 43483 -1
* 3.25 43438 -1
* 3.25 43427 -1
* 3.26 43396 -1
* 3.26 43378 -1
* 3.31 43366 -1
* 3.33 43341 -1
* 3.38 43323 -1
* 3.4 43322 -1
* 3.41 43314 -1
* 9.57 43021 -1
* 9.59 42976 -1
* 9.6 42963 -1
* 9.77 42920 -1
* 10.22 42897 -1
* 10.27 42881 -1
* 10.77 42863 -1
* 10.78 42861 -1
* 10.8 42826 -1
* 10.86 42825 -1
* 10.95 42790 -1
* 10.96 42775 -1
* 11.95 42749 -1
* 11.99 42731 -1
* 12.1 42723 -1
* 12.33 42710 -1
* 12.72 42678 -1
* 12.81 42673 -1
* 12.81 42644 -1
* 12.82 42640 -1
* 13.91 42614 -1
* 15.05 42609 -1
* 15.61 42592 -1
* 17.69 42584 -1
* 17.73 42415 -1
* 17.84 42377 -1
* 17.9 42362 -1
* 18.19 42354 -1
* 18.2 42349 -1
* 18.55 42334 -1
* 18.84 42301 -1
* 18.89 42279 -1
* 18.89 42275 -1
* 71.77 42226 -1
* 73.2 42208 -1
* 73.2 42191 -1
* 73.21 42173 -1
* 73.37 42149 -1
* 79.98 42132 -1
* 80.05 42114 -1
* 81.05 42047 -1
* 81.52 42037 -1
* 84.34 41864 -1
* 84.38 41809 -1
* 84.45 41807 -1
* 84.49 41789 -1
* 85.14 41746 -1
* 85.21 41722 -1
* 85.56 41710 -1
* 85.58 41634 -1
* 85.64 41608 -1
* 85.65 41585 -1
* 86.02 41584 -1
* 86.33 41536 -1
* 89.86 41528 -1
* 89.89 41398 -1
* 90.04 41306 -1
* 165.35 41295 -1
* 166.3 41277 -1
* 166.54 41254 -1
* 178.45 41148 -1
* 178.86 41135 -1
* 178.92 41114 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 41114
# NUMBER OF BRANCHES: 208660782
# END TIME: 7200.01
## No TDTSP solution found.
