# INSTANCE: InstancesTDTSP/inst_50_15_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 30382 -1
* 0.01 24957 -1
* 0.01 24829 -1
* 0.05 24808 -1
* 0.05 24787 -1
* 0.05 24745 -1
* 0.05 24686 -1
* 0.05 24572 -1
* 0.06 24537 -1
* 0.06 24523 -1
* 0.07 24462 -1
* 0.07 24452 -1
* 0.08 23981 -1
* 0.08 23933 -1
* 0.08 23800 -1
* 0.08 23613 -1
* 0.08 23268 -1
* 0.1 22544 -1
* 7.11 22536 -1
* 7.12 22515 -1
* 7.13 22514 -1
* 7.13 22483 -1
* 7.15 22459 -1
* 7.18 22398 -1
* 7.18 22394 -1
* 7.19 22317 -1
* 7.2 22184 -1
* 7.2 22059 -1
* 7.21 22018 -1
* 7.22 21945 -1
* 7.22 21939 -1
* 7.23 21932 -1
* 5307.77 21912 -1
* 5307.84 21870 -1
* 5307.85 21674 -1
* 5308.11 21592 -1
* 5308.24 21588 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 21588
# NUMBER OF BRANCHES: 356803161
# END TIME: 7200.01
## No TDTSP solution found.
