# INSTANCE: InstancesTDTSP/inst_100_19_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.03 48309 -1
* 0.04 48118 -1
* 0.05 48112 -1
* 0.06 47752 -1
* 0.13 47245 -1
* 0.43 47142 -1
* 0.44 47048 -1
* 0.46 47045 -1
* 0.47 47021 -1
* 0.48 46691 -1
* 0.49 46647 -1
* 0.5 46402 -1
* 0.51 46381 -1
* 0.52 46296 -1
* 0.53 46165 -1
* 0.54 46143 -1
* 0.55 46093 -1
* 0.58 45998 -1
* 0.59 45985 -1
* 0.6 45929 -1
* 0.68 45645 -1
* 0.71 45638 -1
* 0.71 45590 -1
* 0.73 45452 -1
* 0.73 44813 -1
* 0.73 44808 -1
* 0.74 44723 -1
* 0.75 44705 -1
* 0.76 44689 -1
* 0.87 44497 -1
* 0.87 44017 -1
* 0.98 43808 -1
* 0.99 43570 -1
* 7.73 43547 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 43547
# NUMBER OF BRANCHES: 313528891
# END TIME: 7200
## No TDTSP solution found.
