# INSTANCE: InstancesTDTSP/inst_30_13_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 19578 -1
* 0 18497 -1
* 0.1 18439 -1
* 0.1 18433 -1
* 0.1 18328 -1
* 0.1 18317 -1
* 0.11 18138 -1
* 0.11 18122 -1
* 0.11 18103 -1
* 0.13 17928 -1
* 0.13 17871 -1
* 0.15 17855 -1
* 0.17 17826 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 17826
# NUMBER OF BRANCHES: 11536
# END TIME: 0.17
## No TDTSP solution found.
