# INSTANCE: InstancesTDTSP/inst_100_13_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 47690 -1
* 0.03 47547 -1
* 0.03 47183 -1
* 0.06 46665 -1
* 0.18 46490 -1
* 0.24 46361 -1
* 0.86 46282 -1
* 0.87 46248 -1
* 0.88 46192 -1
* 0.89 46180 -1
* 0.89 45233 -1
* 0.9 45216 -1
* 0.9 44946 -1
* 0.91 44935 -1
* 0.94 44926 -1
* 0.94 44863 -1
* 0.95 44771 -1
* 0.96 44571 -1
* 0.96 44545 -1
* 0.98 44544 -1
* 1.02 44509 -1
* 1.02 44480 -1
* 1.06 44456 -1
* 1.1 44395 -1
* 1.17 44364 -1
* 1.17 44336 -1
* 1.19 44089 -1
* 1.23 44060 -1
* 1.24 43969 -1
* 1.25 43951 -1
* 1.26 43920 -1
* 1.29 43841 -1
* 1.32 43804 -1
* 1.42 43761 -1
* 2.49 43722 -1
* 2.5 43639 -1
* 2.51 43566 -1
* 2.58 43543 -1
* 2.59 43538 -1
* 2.6 43535 -1
* 2.6 43529 -1
* 2.6 43456 -1
* 2.83 43444 -1
* 9.23 43426 -1
* 14.93 43408 -1
* 31.23 43386 -1
* 31.5 43149 -1
* 32.18 43121 -1
* 69.2 43063 -1
* 69.21 43060 -1
* 69.33 43032 -1
* 69.62 42925 -1
* 69.98 42864 -1
* 70.48 42858 -1
* 71.44 42830 -1
* 71.97 42662 -1
* 71.98 42648 -1
* 75.39 42633 -1
* 75.48 42557 -1
* 75.49 42441 -1
* 75.49 42422 -1
* 76.06 42333 -1
* 76.06 42296 -1
* 76.44 42272 -1
* 76.44 42128 -1
* 76.52 42102 -1
* 76.79 42093 -1
* 76.81 42067 -1
* 77.34 41913 -1
* 77.45 41908 -1
* 77.47 41899 -1
* 77.58 41885 -1
* 77.78 41834 -1
* 78.46 41807 -1
* 81.48 41758 -1
* 81.48 41717 -1
* 81.52 41689 -1
* 81.62 41656 -1
* 81.88 41647 -1
* 81.98 41583 -1
* 81.98 41580 -1
* 82.04 41570 -1
* 82.23 41547 -1
* 83.62 41538 -1
* 109.11 41514 -1
* 121.27 41414 -1
* 121.33 41339 -1
* 121.72 41308 -1
* 121.76 41288 -1
* 121.78 41233 -1
* 123.42 41083 -1
* 123.87 41052 -1
* 124.02 41047 -1
* 124.07 41034 -1
* 124.54 41028 -1
* 127.93 41023 -1
* 127.96 41014 -1
* 129.13 41005 -1
* 129.4 40996 -1
* 129.68 40980 -1
* 129.69 40957 -1
* 154.19 40941 -1
* 191.42 40842 -1
* 191.46 40838 -1
* 195.07 40825 -1
* 202.5 40824 -1
* 202.79 40815 -1
* 204.64 40786 -1
* 304.23 40728 -1
* 443.99 40611 -1
* 444.52 40605 -1
* 444.53 40595 -1
* 444.84 40582 -1
* 444.84 40559 -1
* 445.05 40547 -1
* 445.14 40543 -1
* 469.31 40517 -1
* 471.03 40483 -1
* 471.36 40463 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40463
# NUMBER OF BRANCHES: 199598458
# END TIME: 7200
## No TDTSP solution found.
