# INSTANCE: InstancesTDTSP/inst_20_1_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0.01 18885 -1
* 0.01 13626 -1
* 0.01 13025 -1
* 0.01 12569 -1
* 0.02 12479 -1
* 0.02 12382 -1
* 0.02 12310 -1
* 0.02 12301 -1
* 0.03 12277 -1
* 0.14 12107 -1
* 13.67 11983 -1
* 14.05 11981 -1
* 18.29 11974 -1
* 18.35 11896 -1
* 18.4 11810 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 11810
# NUMBER OF BRANCHES: 2149362
# END TIME: 38.56
## No TDTSP solution found.
