# INSTANCE: InstancesTDTSP/inst_100_2_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 36770 -1
* 0.05 36767 -1
* 0.06 36658 -1
* 0.1 36604 -1
* 0.36 36554 -1
* 0.45 36537 -1
* 0.48 36532 -1
* 0.49 36487 -1
* 0.53 36470 -1
* 0.56 36391 -1
* 0.57 36357 -1
* 0.58 36347 -1
* 0.68 36322 -1
* 8.05 36320 -1
* 8.62 36297 -1
* 9.7 36281 -1
* 9.76 36255 -1
* 9.88 36253 -1
* 10.03 36242 -1
* 10.13 36241 -1
* 10.14 36234 -1
* 10.15 36229 -1
* 10.28 36215 -1
* 13.56 36172 -1
* 20.17 36167 -1
* 24.16 36166 -1
* 24.36 36149 -1
* 24.67 36139 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 36139
# NUMBER OF BRANCHES: 189343846
# END TIME: 7200.01
## No TDTSP solution found.
