# INSTANCE: InstancesTDTSP/inst_20_20_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 12492 -1
* 0 11950 -1
* 0.02 11846 -1
* 0.12 11756 -1
* 0.12 11684 -1
* 0.13 11475 -1
* 0.13 11327 -1
* 0.13 11313 -1
* 0.13 11285 -1
* 0.13 11129 -1
* 0.16 11124 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 11124
# NUMBER OF BRANCHES: 1582553
# END TIME: 32.76
## No TDTSP solution found.
