# INSTANCE: InstancesTDTSP/inst_50_5_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 24591 -1
* 0.05 24172 -1
* 0.06 24103 -1
* 0.07 24027 -1
* 0.08 24014 -1
* 0.09 23978 -1
* 0.1 23843 -1
* 0.11 23831 -1
* 0.11 23755 -1
* 0.14 23697 -1
* 0.16 23651 -1
* 0.17 23635 -1
* 0.19 23585 -1
* 0.23 22636 -1
* 0.23 22562 -1
* 0.25 22544 -1
* 0.25 22492 -1
* 0.27 22477 -1
* 0.27 22444 -1
* 0.28 22364 -1
* 0.28 22306 -1
* 0.29 22286 -1
* 0.3 22151 -1
* 0.47 22150 -1
* 0.53 22134 -1
* 1.52 22069 -1
* 1.61 21947 -1
* 1.63 21941 -1
* 1.8 21925 -1
* 3.2 21886 -1
* 3.2 21873 -1
* 3.58 21828 -1
* 3.63 21815 -1
* 6.21 21786 -1
* 9.96 21767 -1
* 9.98 21765 -1
* 10.08 21764 -1
* 10.24 21677 -1
* 10.28 21653 -1
* 10.39 21643 -1
* 10.39 21621 -1
* 12.21 21339 -1
* 12.21 21331 -1
* 12.22 21257 -1
* 15.44 21207 -1
* 15.46 21180 -1
* 16.58 21056 -1
* 16.59 20904 -1
* 16.62 20743 -1
* 16.62 20734 -1
* 16.65 20587 -1
* 16.69 20509 -1
* 16.75 20403 -1
* 17 20387 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 20387
# NUMBER OF BRANCHES: 235028136
# END TIME: 7200
## No TDTSP solution found.
