# INSTANCE: InstancesTDTSP/inst_50_7_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 26702 -1
* 0.01 26630 -1
* 2.01 26526 -1
* 2.02 26469 -1
* 2.03 26465 -1
* 2.05 26150 -1
* 2.07 26007 -1
* 2.08 25966 -1
* 2.19 25890 -1
* 2.35 25724 -1
* 2.37 25637 -1
* 2.59 25635 -1
* 2.6 24941 -1
* 2.6 24645 -1
* 2.61 24597 -1
* 2.62 24530 -1
* 2.63 24328 -1
* 2.64 24313 -1
* 2.64 24283 -1
* 3.02 24268 -1
* 3.67 24070 -1
* 3.78 24003 -1
* 3.92 23969 -1
* 3.93 23920 -1
* 3.93 23782 -1
* 3.94 23393 -1
* 3.99 23376 -1
* 4 23220 -1
* 4.46 23219 -1
* 4.47 23209 -1
* 4.53 23207 -1
* 5.05 23186 -1
* 5.77 23184 -1
* 5.83 23110 -1
* 5.85 23093 -1
* 5.9 23038 -1
* 9.14 22953 -1
* 9.16 22904 -1
* 9.25 22902 -1
* 9.28 22896 -1
* 9.29 22867 -1
* 9.63 22862 -1
* 11.18 22751 -1
* 11.2 22749 -1
* 11.48 22692 -1
* 11.49 22651 -1
* 11.5 22593 -1
* 11.52 22578 -1
* 11.62 22549 -1
* 11.66 22523 -1
* 11.76 22484 -1
* 11.77 22482 -1
* 13.05 22430 -1
* 13.1 22410 -1
* 13.18 22319 -1
* 13.24 22220 -1
* 13.24 22172 -1
* 13.33 22155 -1
* 13.48 22153 -1
* 13.53 22131 -1
* 13.54 22114 -1
* 13.61 22056 -1
* 14.17 21992 -1
* 14.64 21990 -1
* 16.77 21954 -1
* 22.77 21950 -1
* 24.47 21944 -1
* 379.03 21920 -1
* 379.27 21897 -1
* 379.51 21895 -1
* 380.52 21888 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 21888
# NUMBER OF BRANCHES: 271451342
# END TIME: 7200
## No TDTSP solution found.
