# INSTANCE: InstancesTDTSP/inst_100_5_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 44160 -1
* 0.02 43341 -1
* 0.05 43268 -1
* 0.23 43165 -1
* 0.24 43141 -1
* 0.24 43083 -1
* 0.3 43055 -1
* 10.2 43037 -1
* 10.52 43007 -1
* 11.51 43001 -1
* 11.88 42931 -1
* 11.97 42887 -1
* 12.04 42863 -1
* 12.22 42848 -1
* 13.62 42837 -1
* 13.63 42836 -1
* 13.64 42810 -1
* 13.65 42782 -1
* 13.68 42780 -1
* 13.89 42776 -1
* 13.9 42723 -1
* 13.91 42718 -1
* 13.91 42608 -1
* 13.96 42576 -1
* 14 42523 -1
* 14.01 42126 -1
* 14.03 42116 -1
* 14.04 42098 -1
* 14.04 42064 -1
* 14.07 42020 -1
* 14.1 41968 -1
* 14.13 41921 -1
* 14.19 41918 -1
* 14.26 41804 -1
* 14.27 41789 -1
* 14.27 41778 -1
* 14.33 41760 -1
* 14.61 41713 -1
* 14.61 41707 -1
* 14.62 41293 -1
* 14.68 41104 -1
* 15.16 41075 -1
* 15.17 41064 -1
* 15.18 41060 -1
* 17.38 40858 -1
* 17.4 40837 -1
* 17.44 40826 -1
* 17.46 40818 -1
* 17.47 40814 -1
* 17.48 40804 -1
* 17.5 40777 -1
* 18.68 40697 -1
* 18.94 40665 -1
* 18.94 40612 -1
* 19 40507 -1
* 19.01 40494 -1
* 19.64 40469 -1
* 19.69 40466 -1
* 19.72 40463 -1
* 20.08 40457 -1
* 20.12 40450 -1
* 20.19 40448 -1
* 20.75 40398 -1
* 20.81 40386 -1
* 20.82 40349 -1
* 34.01 40334 -1
* 49.45 40333 -1
* 49.45 40330 -1
* 49.47 40328 -1
* 49.47 40288 -1
* 49.51 40285 -1
* 49.6 40279 -1
* 50.55 40270 -1
* 50.69 40261 -1
* 50.76 40242 -1
* 51.07 40226 -1
* 52.83 40217 -1
* 52.83 40195 -1
* 52.92 40153 -1
* 52.92 40144 -1
* 53.01 40141 -1
* 53.12 40126 -1
* 53.23 40124 -1
* 53.48 40079 -1
* 53.49 39839 -1
* 53.5 39690 -1
* 53.52 39590 -1
* 53.55 39577 -1
* 53.56 39547 -1
* 53.56 39295 -1
* 53.6 39292 -1
* 53.71 39262 -1
* 53.77 39231 -1
* 53.84 39226 -1
* 54.19 39100 -1
* 54.27 39030 -1
* 54.31 39016 -1
* 82.27 39000 -1
* 83.18 38998 -1
* 83.18 38961 -1
* 83.2 38958 -1
* 83.21 38953 -1
* 83.23 38950 -1
* 83.27 38943 -1
* 83.34 38924 -1
* 83.4 38921 -1
* 83.41 38906 -1
* 83.49 38903 -1
* 83.75 38873 -1
* 428.78 38834 -1
* 429.55 38828 -1
* 430.76 38805 -1
* 430.77 38737 -1
* 430.8 38732 -1
* 432.59 38719 -1
* 432.6 38673 -1
* 432.62 38662 -1
* 432.67 38658 -1
* 432.72 38623 -1
* 435.85 38616 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 38616
# NUMBER OF BRANCHES: 224143942
# END TIME: 7200.01
## No TDTSP solution found.
