# INSTANCE: InstancesTDTSP/inst_50_10_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 30058 -1
* 0 26230 -1
* 0.03 26163 -1
* 0.03 26135 -1
* 0.04 26094 -1
* 0.24 26033 -1
* 0.28 25976 -1
* 0.33 25099 -1
* 1.59 24782 -1
* 1.6 24484 -1
* 1.6 24410 -1
* 1.6 24212 -1
* 1.62 24001 -1
* 1.64 23955 -1
* 1.64 23883 -1
* 1.66 23881 -1
* 1.67 23862 -1
* 1.7 23721 -1
* 1.71 23703 -1
* 1.81 23686 -1
* 2.68 23634 -1
* 2.68 23613 -1
* 2.74 23596 -1
* 2.77 23564 -1
* 2.8 23553 -1
* 2.88 23488 -1
* 2.89 23341 -1
* 2.89 23322 -1
* 2.91 23292 -1
* 2.94 23290 -1
* 3.02 23200 -1
* 3.09 23198 -1
* 3.1 23196 -1
* 4.5 23143 -1
* 121.85 23074 -1
* 121.87 23070 -1
* 121.88 23064 -1
* 121.91 23029 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 23029
# NUMBER OF BRANCHES: 369693500
# END TIME: 7200
## No TDTSP solution found.
