# INSTANCE: InstancesTDTSP/inst_50_8_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 26177 -1
* 0.02 25824 -1
* 0.02 25590 -1
* 0.04 25569 -1
* 0.09 25158 -1
* 0.2 25152 -1
* 0.43 25137 -1
* 0.7 25026 -1
* 2.52 24929 -1
* 2.52 24919 -1
* 2.54 24817 -1
* 2.55 24800 -1
* 29.41 24063 -1
* 29.43 24037 -1
* 29.46 23799 -1
* 29.47 23795 -1
* 33.43 23317 -1
* 33.44 22910 -1
* 34.42 22895 -1
* 34.43 22881 -1
* 34.48 22829 -1
* 34.48 22819 -1
* 115.83 22738 -1
* 115.92 22663 -1
* 115.93 22621 -1
* 115.95 22600 -1
* 115.97 22591 -1
* 115.98 22565 -1
* 115.99 22521 -1
* 115.99 22467 -1
* 116.01 22403 -1
* 116.02 22352 -1
* 116.74 22326 -1
* 117.31 22320 -1
* 4027.06 22316 -1
* 4027.07 22251 -1
* 4027.12 22229 -1
* 4027.16 22185 -1
* 4027.21 22143 -1
* 4027.26 22052 -1
* 4027.29 21885 -1
* 4027.32 21744 -1
* 4027.39 21604 -1
* 4028.44 21600 -1
* 4029.13 21533 -1
* 4034.98 21509 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 21509
# NUMBER OF BRANCHES: 340745760
# END TIME: 7200
## No TDTSP solution found.
