# INSTANCE: InstancesTDTSP/inst_20_9_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0.01 21790 -1
* 0.01 19911 -1
* 0.01 13203 -1
* 0.01 13093 -1
* 0.01 12688 -1
* 0.02 12557 -1
* 0.06 12534 -1
* 0.07 12530 -1
* 0.09 12518 -1
* 0.09 12431 -1
* 0.1 12322 -1
* 0.1 12232 -1
* 0.11 12205 -1
* 37.6 12163 -1
* 38.46 12065 -1
* 38.5 12061 -1
* 49.8 11941 -1
* 49.81 11939 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 11939
# NUMBER OF BRANCHES: 6692331
# END TIME: 130.33
## No TDTSP solution found.
