# INSTANCE: InstancesTDTSP/inst_30_3_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 26209 -1
* 0 17082 -1
* 0 17028 -1
* 0 16884 -1
* 0.02 16788 -1
* 0.11 16614 -1
* 0.12 16153 -1
* 0.13 16109 -1
* 0.19 15963 -1
* 0.19 15736 -1
* 0.19 15665 -1
* 0.19 15664 -1
* 0.2 15584 -1
* 0.21 15473 -1
* 1.02 15457 -1
* 1.03 15424 -1
* 1.03 15267 -1
* 1.05 15234 -1
* 132.15 15227 -1
* 139.94 15191 -1
* 139.95 15136 -1
* 139.96 15050 -1
* 139.96 15030 -1
* 145 14967 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 14967
# NUMBER OF BRANCHES: 145082127
# END TIME: 3600
## No TDTSP solution found.
