# INSTANCE: InstancesTDTSP/inst_100_8_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 46107 -1
* 0.02 46026 -1
* 0.1 45869 -1
* 0.1 45594 -1
* 0.11 45452 -1
* 0.12 45444 -1
* 0.13 45373 -1
* 0.13 45322 -1
* 0.14 45235 -1
* 0.16 44983 -1
* 0.19 44796 -1
* 0.24 44732 -1
* 0.26 44727 -1
* 0.35 44645 -1
* 0.51 44627 -1
* 0.59 44602 -1
* 0.69 44520 -1
* 0.69 44466 -1
* 0.71 44458 -1
* 0.71 44405 -1
* 0.72 44319 -1
* 0.73 44254 -1
* 11.87 44100 -1
* 11.89 43994 -1
* 11.92 43901 -1
* 11.93 43843 -1
* 11.96 43780 -1
* 12.1 43700 -1
* 12.1 43669 -1
* 12.15 43507 -1
* 12.24 43501 -1
* 12.27 43433 -1
* 12.31 43431 -1
* 12.42 43421 -1
* 12.44 43395 -1
* 13.1 43356 -1
* 13.16 43353 -1
* 13.21 43281 -1
* 13.22 43274 -1
* 13.72 43266 -1
* 13.75 43261 -1
* 13.76 43248 -1
* 13.78 43179 -1
* 13.78 42973 -1
* 13.93 42932 -1
* 13.94 42923 -1
* 15.94 42881 -1
* 16.34 42859 -1
* 16.37 42813 -1
* 16.62 42809 -1
* 16.72 42789 -1
* 16.74 42716 -1
* 17.49 42696 -1
* 17.51 42669 -1
* 17.52 42604 -1
* 18.75 42529 -1
* 18.79 42483 -1
* 18.87 42471 -1
* 20.46 42460 -1
* 21.29 42429 -1
* 21.38 42399 -1
* 22.46 42330 -1
* 23.4 42323 -1
* 26.62 42315 -1
* 26.97 42273 -1
* 27 42240 -1
* 27.21 42114 -1
* 27.36 42078 -1
* 35.47 41891 -1
* 35.69 41861 -1
* 61.62 41837 -1
* 61.65 41832 -1
* 61.7 41808 -1
* 61.82 41714 -1
* 148.28 41612 -1
* 148.46 41604 -1
* 171.28 41505 -1
* 183.33 41455 -1
* 2038.37 41438 -1
* 2055.02 41432 -1
* 2055.14 41430 -1
* 2055.2 41393 -1
* 2055.21 41388 -1
* 2055.22 41342 -1
* 2055.77 41332 -1
* 2056.02 41238 -1
* 2058.7 41232 -1
* 2058.92 41218 -1
* 2058.98 41213 -1
* 2066.67 41201 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 41201
# NUMBER OF BRANCHES: 192424332
# END TIME: 7200.01
## No TDTSP solution found.
