# INSTANCE: InstancesTDTSP/inst_50_11_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 25448 -1
* 0.01 25261 -1
* 0.02 24973 -1
* 0.06 24950 -1
* 0.31 24903 -1
* 0.32 24864 -1
* 0.33 24649 -1
* 0.35 24594 -1
* 0.37 24537 -1
* 0.38 24348 -1
* 0.4 24302 -1
* 0.4 24174 -1
* 0.62 23945 -1
* 0.64 23924 -1
* 0.64 23914 -1
* 2.76 23845 -1
* 2.76 23781 -1
* 2.77 23778 -1
* 2.81 23708 -1
* 42.48 23668 -1
* 42.62 23581 -1
* 46.37 23551 -1
* 47.5 23545 -1
* 47.52 23540 -1
* 53.17 23532 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 23532
# NUMBER OF BRANCHES: 215534816
# END TIME: 7200
## No TDTSP solution found.
