# INSTANCE: InstancesTDTSP/inst_100_20_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.08 49924 -1
* 0.22 49741 -1
* 0.24 49710 -1
* 0.25 49657 -1
* 0.25 49589 -1
* 0.27 49587 -1
* 0.3 49509 -1
* 0.32 49505 -1
* 0.32 48853 -1
* 0.33 48836 -1
* 0.34 48805 -1
* 9.55 48713 -1
* 9.65 48647 -1
* 10.13 48484 -1
* 10.43 48102 -1
* 10.46 48067 -1
* 10.58 48033 -1
* 10.6 47805 -1
* 10.63 47697 -1
* 10.71 47634 -1
* 10.79 47559 -1
* 10.83 47534 -1
* 10.85 47496 -1
* 10.94 47493 -1
* 11.15 47342 -1
* 11.24 47340 -1
* 11.26 47324 -1
* 11.31 47316 -1
* 11.37 47315 -1
* 11.45 47240 -1
* 12.21 47003 -1
* 12.46 46959 -1
* 12.51 46864 -1
* 12.59 46744 -1
* 12.63 46742 -1
* 12.71 46726 -1
* 12.8 46701 -1
* 12.84 46624 -1
* 13.8 46614 -1
* 14.61 46591 -1
* 16.46 46588 -1
* 16.48 46586 -1
* 16.51 46554 -1
* 16.61 46462 -1
* 16.64 46427 -1
* 16.71 46399 -1
* 16.91 46374 -1
* 18.2 46188 -1
* 22.48 46150 -1
* 33.49 46095 -1
* 33.55 46080 -1
* 33.67 46078 -1
* 33.7 46059 -1
* 33.71 46051 -1
* 33.76 45751 -1
* 33.81 45726 -1
* 33.91 45704 -1
* 34.09 45621 -1
* 34.45 45578 -1
* 34.49 45532 -1
* 34.73 45444 -1
* 34.83 45397 -1
* 34.86 45343 -1
* 34.9 45299 -1
* 34.9 45286 -1
* 34.92 45264 -1
* 34.93 45054 -1
* 34.99 45022 -1
* 35.17 45010 -1
* 35.34 44882 -1
* 35.43 44790 -1
* 35.49 44788 -1
* 35.72 44649 -1
* 35.87 44451 -1
* 35.94 44401 -1
* 36.03 44357 -1
* 36.06 44236 -1
* 36.32 44234 -1
* 36.56 44202 -1
* 36.75 44183 -1
* 37.44 44145 -1
* 38.3 44111 -1
* 38.33 44064 -1
* 38.71 44056 -1
* 38.76 44033 -1
* 38.77 44001 -1
* 38.77 43993 -1
* 38.84 43935 -1
* 39.1 43924 -1
* 39.11 43920 -1
* 39.13 43912 -1
* 39.18 43907 -1
* 39.22 43905 -1
* 39.23 43903 -1
* 39.32 43887 -1
* 39.34 43845 -1
* 39.35 43838 -1
* 39.4 43778 -1
* 39.48 43767 -1
* 39.53 43735 -1
* 41.65 43728 -1
* 41.94 43719 -1
* 42.08 43713 -1
* 42.29 43703 -1
* 42.32 43701 -1
* 42.56 43698 -1
* 42.56 43691 -1
* 42.6 43635 -1
* 42.94 43610 -1
* 42.96 43560 -1
* 43.18 43552 -1
* 43.42 43547 -1
* 43.79 43452 -1
* 43.85 43449 -1
* 43.92 43245 -1
* 43.92 43236 -1
* 43.93 43234 -1
* 43.99 43217 -1
* 44.02 43208 -1
* 44.8 43204 -1
* 45.05 43195 -1
* 46.08 43183 -1
* 46.47 43108 -1
* 46.48 43101 -1
* 46.49 43083 -1
* 46.71 43075 -1
* 48.4 43056 -1
* 48.52 43045 -1
* 61.41 42989 -1
* 64.28 42946 -1
* 64.91 42941 -1
* 64.99 42918 -1
* 65.77 42907 -1
* 69.75 42804 -1
* 69.8 42731 -1
* 69.95 42718 -1
* 70.05 42705 -1
* 70.76 42647 -1
* 70.77 42628 -1
* 70.81 42626 -1
* 70.84 42606 -1
* 70.89 42604 -1
* 76.41 42598 -1
* 76.41 42590 -1
* 76.48 42582 -1
* 76.49 42579 -1
* 76.52 42546 -1
* 76.63 42530 -1
* 78.52 42526 -1
* 78.54 42519 -1
* 78.55 42513 -1
* 78.6 42486 -1
* 78.64 42485 -1
* 80.01 42463 -1
* 80.08 42251 -1
* 80.34 41944 -1
* 80.4 41942 -1
* 80.61 41923 -1
* 80.76 41914 -1
* 80.84 41912 -1
* 81.55 41895 -1
* 81.7 41873 -1
* 81.7 41850 -1
* 81.72 41848 -1
* 81.78 41847 -1
* 81.87 41838 -1
* 81.92 41767 -1
* 81.96 41760 -1
* 81.99 41600 -1
* 82.11 41592 -1
* 82.13 41533 -1
* 82.15 41531 -1
* 82.15 41529 -1
* 82.15 41505 -1
* 82.21 41476 -1
* 274.1 41442 -1
* 274.4 41440 -1
* 274.69 41429 -1
* 274.89 41427 -1
* 275.14 41425 -1
* 275.16 41408 -1
* 275.26 41384 -1
* 275.46 41363 -1
* 276.01 41338 -1
* 293.63 41311 -1
* 293.64 41295 -1
* 296.58 41268 -1
* 357.26 41262 -1
* 357.3 41256 -1
* 357.49 41248 -1
* 358.04 41242 -1
* 358.09 41208 -1
* 358.21 41203 -1
* 358.61 41201 -1
* 359.08 41160 -1
* 359.08 41157 -1
* 359.38 41140 -1
* 404.59 41125 -1
* 404.6 41118 -1
* 404.61 41096 -1
* 406.61 41071 -1
* 407.33 40921 -1
* 407.34 40906 -1
* 411.9 40878 -1
* 411.91 40859 -1
* 412.09 40840 -1
* 412.3 40780 -1
* 412.32 40697 -1
* 412.38 40687 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40687
# NUMBER OF BRANCHES: 234399195
# END TIME: 7200
## No TDTSP solution found.
