# INSTANCE: InstancesTDTSP/inst_50_20_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 23422 -1
* 0.01 23292 -1
* 0.07 22996 -1
* 0.07 22938 -1
* 0.08 22758 -1
* 0.08 22666 -1
* 0.08 22657 -1
* 0.1 22615 -1
* 0.1 22582 -1
* 0.13 22573 -1
* 65.12 22531 -1
* 65.13 22529 -1
* 65.18 22519 -1
* 125.01 22473 -1
* 126.42 22442 -1
* 126.46 22328 -1
* 126.49 22325 -1
* 126.52 22320 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 22320
# NUMBER OF BRANCHES: 350259002
# END TIME: 7200
## No TDTSP solution found.
