# INSTANCE: InstancesTDTSP/inst_100_4_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 42844 -1
* 0.02 42518 -1
* 0.03 42448 -1
* 0.04 42387 -1
* 0.06 42362 -1
* 0.24 42349 -1
* 0.25 42259 -1
* 0.26 42204 -1
* 0.28 42146 -1
* 0.29 42033 -1
* 0.38 42029 -1
* 6.09 42023 -1
* 6.52 41986 -1
* 6.53 41946 -1
* 6.6 41828 -1
* 6.65 41795 -1
* 7.25 41791 -1
* 7.72 41701 -1
* 7.82 41691 -1
* 7.9 41680 -1
* 7.95 41617 -1
* 8.24 41612 -1
* 8.24 41609 -1
* 9.7 41601 -1
* 9.81 41590 -1
* 9.87 41543 -1
* 12.14 41510 -1
* 54.39 41507 -1
* 56.72 41446 -1
* 57.42 41435 -1
* 57.48 41429 -1
* 57.52 41414 -1
* 57.55 41412 -1
* 57.56 41397 -1
* 57.56 41199 -1
* 57.95 41166 -1
* 59.11 41065 -1
* 68.52 41064 -1
* 202.62 41044 -1
* 202.71 40983 -1
* 202.85 40967 -1
* 203.13 40956 -1
* 203.17 40927 -1
* 211.08 40925 -1
* 233.58 40901 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40901
# NUMBER OF BRANCHES: 164409938
# END TIME: 7200
## No TDTSP solution found.
