# INSTANCE: InstancesTDTSP/inst_50_4_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 25729 -1
* 0.01 25520 -1
* 2.95 25506 -1
* 2.96 25488 -1
* 2.96 25381 -1
* 2.96 25371 -1
* 3 25270 -1
* 3 25265 -1
* 3.01 25255 -1
* 3.02 25234 -1
* 3.05 25189 -1
* 3.06 25160 -1
* 3.31 25151 -1
* 7.57 25074 -1
* 7.59 24952 -1
* 7.59 24581 -1
* 9.72 24579 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 24579
# NUMBER OF BRANCHES: 246501632
# END TIME: 7200
## No TDTSP solution found.
