# INSTANCE: InstancesTDTSP/inst_50_20_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 24882 -1
* 0.02 24642 -1
* 0.09 24577 -1
* 0.09 24569 -1
* 0.09 24168 -1
* 0.1 24090 -1
* 0.11 24057 -1
* 0.15 24052 -1
* 0.16 24006 -1
* 0.17 23966 -1
* 0.17 23629 -1
* 0.18 23617 -1
* 0.18 23588 -1
* 0.2 23499 -1
* 0.21 23424 -1
* 0.39 23409 -1
* 0.4 23386 -1
* 0.42 23344 -1
* 0.46 23341 -1
* 0.47 23209 -1
* 0.53 23164 -1
* 1.72 23074 -1
* 1.81 23063 -1
* 2.95 23044 -1
* 2.98 23026 -1
* 2.98 22968 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 22968
# NUMBER OF BRANCHES: 305169479
# END TIME: 7200
## No TDTSP solution found.
