# INSTANCE: InstancesTDTSP/inst_50_3_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 26029 -1
* 0.02 25981 -1
* 0.08 25898 -1
* 0.08 25842 -1
* 0.09 25002 -1
* 0.1 24992 -1
* 0.3 24310 -1
* 0.32 24170 -1
* 0.34 24119 -1
* 0.35 24073 -1
* 0.37 23879 -1
* 0.38 23546 -1
* 0.41 22297 -1
* 0.43 22276 -1
* 56.01 22270 -1
* 56.04 22150 -1
* 56.14 22117 -1
* 56.16 21997 -1
* 56.27 21995 -1
* 57.32 21932 -1
* 57.47 21929 -1
* 57.79 21904 -1
* 57.97 21902 -1
* 57.98 21834 -1
* 58.68 21799 -1
* 68.47 21782 -1
* 68.49 21739 -1
* 68.97 21717 -1
* 68.98 21664 -1
* 68.98 21618 -1
* 69 21616 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 21616
# NUMBER OF BRANCHES: 158000869
# END TIME: 7200
## No TDTSP solution found.
