# INSTANCE: InstancesTDTSP/inst_100_5_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 40124 -1
* 0.03 40111 -1
* 16.74 39734 -1
* 16.78 39729 -1
* 16.97 39668 -1
* 17.8 39626 -1
* 17.85 39604 -1
* 18.09 39581 -1
* 436.02 39579 -1
* 436.23 39541 -1
* 436.28 39533 -1
* 445.44 39523 -1
* 468.72 39287 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 39287
# NUMBER OF BRANCHES: 228698155
# END TIME: 7200.01
## No TDTSP solution found.
