# INSTANCE: InstancesTDTSP/inst_100_1_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 41623 -1
* 0.01 41058 -1
* 0.02 40695 -1
* 0.11 40657 -1
* 0.12 40631 -1
* 0.13 40615 -1
* 1.12 40576 -1
* 1.17 40566 -1
* 1.18 40514 -1
* 1.23 40455 -1
* 1.26 40442 -1
* 1.32 40401 -1
* 1.32 40374 -1
* 7.76 40360 -1
* 7.77 40339 -1
* 7.77 40323 -1
* 7.82 40297 -1
* 7.83 40267 -1
* 7.89 40192 -1
* 7.94 40180 -1
* 7.94 40143 -1
* 7.96 40109 -1
* 8 40088 -1
* 8 40058 -1
* 8.01 40017 -1
* 8.02 39978 -1
* 8.04 39965 -1
* 8.05 39931 -1
* 8.12 39907 -1
* 8.13 39832 -1
* 8.29 39808 -1
* 8.7 39805 -1
* 8.72 39772 -1
* 8.73 39740 -1
* 8.93 39727 -1
* 8.94 39693 -1
* 8.95 39655 -1
* 9.08 39631 -1
* 11.68 39594 -1
* 11.7 39583 -1
* 11.89 39557 -1
* 11.9 39509 -1
* 11.99 39488 -1
* 12.42 39457 -1
* 13.33 39323 -1
* 13.72 39295 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 39295
# NUMBER OF BRANCHES: 173599993
# END TIME: 7200
## No TDTSP solution found.
