# INSTANCE: InstancesTDTSP/inst_100_19_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 46351 -1
* 0.03 46343 -1
* 0.04 46339 -1
* 0.07 46331 -1
* 0.11 46304 -1
* 0.24 45968 -1
* 0.38 45960 -1
* 0.85 45833 -1
* 0.85 45766 -1
* 0.85 45750 -1
* 0.87 45734 -1
* 0.89 45727 -1
* 0.91 45555 -1
* 0.92 45490 -1
* 0.96 45393 -1
* 0.97 45350 -1
* 0.97 45334 -1
* 0.98 45301 -1
* 0.98 45171 -1
* 0.99 45165 -1
* 1.06 45136 -1
* 1.08 45090 -1
* 1.08 45084 -1
* 1.09 45032 -1
* 1.1 45028 -1
* 1.13 44999 -1
* 1.23 44991 -1
* 1.28 44955 -1
* 8.29 44556 -1
* 8.29 44487 -1
* 10.22 44442 -1
* 10.59 44426 -1
* 10.82 44413 -1
* 10.83 44397 -1
* 11.12 44374 -1
* 11.23 44362 -1
* 12.21 44347 -1
* 12.25 44291 -1
* 12.53 44283 -1
* 12.87 44276 -1
* 13.55 44231 -1
* 13.58 44223 -1
* 13.61 44181 -1
* 15.2 43676 -1
* 15.21 43426 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 43426
# NUMBER OF BRANCHES: 283845567
# END TIME: 7200.01
## No TDTSP solution found.
